JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Senior Research Scientist,Sartorius,""Waterloo, ON"",9 days ago,2021-06-05,""In this position, you will utilize state-of-the-art AI, engineering methods and algorithms in the development and manufacturing of new therapies."",,https://ca.indeed.com/rc/clk?jk=547ec11d425bb4fc&fccid=223a83189e0bc47a&vjs=3";
"Senior Technical Writer,BlackBerry,""Waterloo, ON"",10 days ago,2021-06-05,""We are looking for candidates in a variety of roles including software developers & testers, researchers, product managers & project managers, quality control &…"",,https://ca.indeed.com/rc/clk?jk=dc7106b0b9b0ecda&fccid=a311d3f78a9495c2&vjs=3";
"Senior Technical Writer,BlackBerry,""Waterloo, ON"",10 days ago,2021-06-05,""We are looking for candidates in a variety of roles including software developers & testers, researchers, product managers & project managers, quality control &…"",,https://ca.indeed.com/rc/clk?jk=dc7106b0b9b0ecda&fccid=a311d3f78a9495c2&vjs=3";
"Senior Software Developer,Cloud DX,""Kitchener, ON"",9 days ago,2021-06-05,Our existing product offerings create conduits for patients to deliver their data to their clinicians and for clinicians to deliver care to their patients.,,https://ca.indeed.com/company/Cloud-DX/jobs/Senior-Software-Developer-66fc625dafff8d07?fccid=fa840f44db35ebae&vjs=3";
"Senior Accountant,Flowserve,""Guelph, ON"",11 days ago,2021-06-05,""It has the ability to engineer, design, manufacture, assemble and test liquid ring vacuum pumps and compressors. Prepare and submit GST/HST reports."",,https://ca.indeed.com/rc/clk?jk=d4590815febf08d4&fccid=382ab41b9b15f833&vjs=3";
"Senior Front-end Engineer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,""We build minimum viable products, deploy to production multiple times per day, A/B test customer-facing changes, listen to the data, and iterate."",,https://ca.indeed.com/rc/clk?jk=1b9424b985fa83f6&fccid=f3a36f726f745c17&vjs=3";
"Senior Financial Analyst,eSentire,""Waterloo, ON"",30+ days ago,2021-06-05,This is a highly visible role within eSentire that will partner with various senior leaders and decision makers across the Company and work on the Business…,,https://ca.indeed.com/rc/clk?jk=de87e4bd78173d30&fccid=7c5fcad1555ef8c7&vjs=3";
"Senior Manager, Global Compensation,Stantec,""Waterloo, ON"",30+ days ago,2021-06-05,""From time to time, this position will present and facilitate senior executive leader presentations and discussions. Ability to travel as needed."",,https://ca.indeed.com/rc/clk?jk=8ae4af9f13c7454e&fccid=f1582c464db8553b&vjs=3";
"Sr. Manager, Financial Controllership,opentext,""Waterloo, ON"",5 days ago,2021-06-05,""With $1B + in total revenue in the US, the Senior Manager will be an integral part of the accounting cycle, providing support to the broader finance team,…"",,https://ca.indeed.com/rc/clk?jk=7fb3decdcdf60efd&fccid=c908408e676247d6&vjs=3";
"Senior Specialist, Internal Control,The Economical Insurance Group,""Kitchener, ON"",30+ days ago,2021-06-05,""Independently execute control validation and advisory engagements end to end, including design of testing procedures. Proficient in Excel, PowerPoint, and Word."",,https://ca.indeed.com/rc/clk?jk=de7139d4340fad91&fccid=d33243ac6c394a10&vjs=3";
"Senior Auditor or Associate Manager,Manulife,""Waterloo, ON"",26 days ago,2021-06-05,""The Senior Auditor / Associate Manger is accountable for completing assigned audit work of all types (key risk audits, defined procedures, project risk reviews,…"",,https://ca.indeed.com/rc/clk?jk=867123b8c6684bc6&fccid=1747adf6142beb48&vjs=3";
"Sr. Business System Analyst (E-comm/ Shopping Cart Platform) 1,opentext,""Waterloo, ON"",1 day ago,2021-06-05,""To be successful, the senior business systems analyst’s focus will be on process design, process reengineering, business requirements, gap analysis, data flows…"",,https://ca.indeed.com/rc/clk?jk=6fa286dba2d63d46&fccid=c908408e676247d6&vjs=3";
"Senior Program Manager (Agile),The Economical Insurance Group,""Kitchener, ON"",30+ days ago,2021-06-05,""The Agile Program Manager works with business and technical teams to deliver LARGE-sized enterprise level initiatives, with a yearly spend of between $5m-$7.5m,…"",,https://ca.indeed.com/rc/clk?jk=0a375d5f4701f3ef&fccid=d33243ac6c394a10&vjs=3";
"Senior Web Developer,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,""We dig deeper into customer problems to provide a streamlined solution that makes customers lives easier. You will determine best coding practices, development…"",,https://ca.indeed.com/rc/clk?jk=76ae9ea7163263e4&fccid=800f11c47014effe&vjs=3";
"Senior QA Engineer,Broadcom,""Waterloo, ON"",10 days ago,2021-06-05,""The Symantec ProxySG is an industry-recognized category leader in the Secure Web Gateway market and in this integral role, the ideal candidate will work closely…"",,https://ca.indeed.com/rc/clk?jk=4ce20b017393773a&fccid=db9705308229f617&vjs=3";
"Sr. Mechanical Designer,Eclipse Automation,""Cambridge, ON"",2 days ago,2021-06-05,""Reporting to the Mechanical Engineering Managers, the Mechanical Designer will work directly with Mechanical Design Lead and Design teams to ensure projects are…"",,https://ca.indeed.com/company/Eclipse-Automation/jobs/Senior-Mechanical-Designer-32c20a1b59d4e69a?fccid=6629bca1650d0557&vjs=3";
"Sr. Sybase Database Administrator,opentext,""Waterloo, ON"",21 days ago,2021-06-05,""Our offerings range from shared, multitenant SaaS offerings to Managed Services supporting Enterprise Clients and are hosted on a variety of infrastructure…"",,https://ca.indeed.com/rc/clk?jk=2aa9323275a36449&fccid=c908408e676247d6&vjs=3";
"Senior Product Manager – Next Gen Products,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,""McAfee is looking for an experienced product leader to setup and lead the new product capability innovation pipeline. Medical, Dental and Vision Coverage."",,https://ca.indeed.com/rc/clk?jk=b3fc6e5cb428485e&fccid=800f11c47014effe&vjs=3";
"Senior Jewish Educator,Hillel International,""Guelph, ON"",30+ days ago,2021-06-05,""As an authentic Jewish teacher, the educator will provide leadership for the Hillel community through grassroots community organizing, spiritual connection, and…"",""$60,000 - $70,000 a year"",https://ca.indeed.com/rc/clk?jk=229fb904d9601980&fccid=c266990e6b1b832d&vjs=3";
"Senior Software Developer,EPAM Systems,""Waterloo, ON"",30+ days ago,2021-06-05,""You enjoy living by the code of your craft and developing elegant solutions for complex problems. Analyze business requirements, design and implement solutions,…"",,https://ca.indeed.com/rc/clk?jk=7450fdb742e12a67&fccid=532afac41b2663f7&vjs=3";
"Sr. Technical Support Specialist,opentext,""Waterloo, ON"",2 days ago,2021-06-05,""Utilize exceptional written and verbal communication skills while supporting customers via web, telephone, or email, while demonstrating a high level of…"",,https://ca.indeed.com/rc/clk?jk=829101bab5e90c4d&fccid=c908408e676247d6&vjs=3";
"Senior Data Analyst, Business Planning and Analytics (Contract),Norton Rose Fulbright,""Guelph, ON"",Today,2021-06-05,Stay abreast of their needs and communicate requirements to senior team members. Support senior members of the Business Planning and Analytics team nationally…,,https://ca.indeed.com/rc/clk?jk=ce8c4be315adf633&fccid=13ca7d8a9898b593&vjs=3";
"Senior Front-End JavaScript Software Developer,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,""Develop and debug complex software in multiple UI and web technologies. Determine best coding practices, development tools, and validation requirements."",,https://ca.indeed.com/rc/clk?jk=3b49dbe5364b5fd3&fccid=800f11c47014effe&vjs=3";
"Senior Systems Analyst,Home Hardware Stores Limited,""St. Jacobs, ON"",30+ days ago,2021-06-05,""Responsible to the Manager, IT Business Solutions for the analysis and design of Home Hardware’s Head Office computer applications."",,https://ca.indeed.com/rc/clk?jk=bb3ebe32ba015922&fccid=3d2d6be43c424e69&vjs=3";
"Senior Marketing Specialist, Community Development,Stantec,""Guelph, ON"",2 days ago,2021-06-05,""We're marketers, communicators, and strategic pursuit partners who play an integral role in the development and execution of creative vision, innovative…"",,https://ca.indeed.com/rc/clk?jk=a6bdeedc06aa1cd0&fccid=f1582c464db8553b&vjs=3";
"Senior Product Owner,Manulife,""Waterloo, ON"",30+ days ago,2021-06-05,We have a clear vision of our strategy and the result will be exceptional experiences for our customers. Your contributions will help evolve the customers and…,,https://ca.indeed.com/rc/clk?jk=8986ace55abccf29&fccid=1747adf6142beb48&vjs=3";
"Senior iOS Engineer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,""We build minimum viable products, deploy to production weekly, A/B test customer-facing changes, listen to the data, and iterate. 4+ years of iOS experience."",,https://ca.indeed.com/rc/clk?jk=b463d8b1bbb06657&fccid=f3a36f726f745c17&vjs=3";
"Senior Project Engineer – Active & Autonomous Transportation,City of Waterloo,""Waterloo, ON"",10 days ago,2021-06-05,A full time opportunity exists in the City’s Transportation Services Division for an experienced Senior Project Engineer.,,https://ca.indeed.com/rc/clk?jk=5fbeaa4cc1d7cb0e&fccid=cc1fffe59b570af4&vjs=3";
"Senior Product Designer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,Act as an advocate for exceptional experiences when partnering with product and engineering on roadmap and feature execution.,,https://ca.indeed.com/rc/clk?jk=189e641f10654b2a&fccid=f3a36f726f745c17&vjs=3";
"Talent Solutions Recruiter/Sr. Recruiter,Koch Business Solutions,""Waterloo, ON"",2 days ago,2021-06-05,You will collaborate with hiring managers and HR business partners across Koch to fully understand talent needs . High school diploma or equivalent.,,https://ca.indeed.com/rc/clk?jk=07020d0e90dbfda1&fccid=735667c8ff2f1a48&vjs=3";
"Senior PHP Developer,opentext,""Waterloo, ON"",25 days ago,2021-06-05,""This position involves being part of a dynamic team environment responsible for designing, developing, configuring and supporting software solutions to meet…"",,https://ca.indeed.com/rc/clk?jk=1434bb8ad2f4b80a&fccid=c908408e676247d6&vjs=3";
"Sr. Revenue Operations Analyst,opentext,""Waterloo, ON"",3 days ago,2021-06-05,""Specifically, the Systems team focuses on the support and enhancements of our primary CRM tool (Salesforce.com) and related tools such as Eloqua, Outreach and…"",,https://ca.indeed.com/rc/clk?jk=f11c792107c56883&fccid=c908408e676247d6&vjs=3";
"Senior Product Designer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,Act as an advocate for exceptional experiences when partnering with product and engineering on roadmap and feature execution.,,https://ca.indeed.com/rc/clk?jk=189e641f10654b2a&fccid=f3a36f726f745c17&vjs=3";
"Talent Solutions Recruiter/Sr. Recruiter,Koch Business Solutions,""Waterloo, ON"",2 days ago,2021-06-05,You will collaborate with hiring managers and HR business partners across Koch to fully understand talent needs . High school diploma or equivalent.,,https://ca.indeed.com/rc/clk?jk=07020d0e90dbfda1&fccid=735667c8ff2f1a48&vjs=3";
"Senior PHP Developer,opentext,""Waterloo, ON"",25 days ago,2021-06-05,""This position involves being part of a dynamic team environment responsible for designing, developing, configuring and supporting software solutions to meet…"",,https://ca.indeed.com/rc/clk?jk=1434bb8ad2f4b80a&fccid=c908408e676247d6&vjs=3";
"Sr. Revenue Operations Analyst,opentext,""Waterloo, ON"",3 days ago,2021-06-05,""Specifically, the Systems team focuses on the support and enhancements of our primary CRM tool (Salesforce.com) and related tools such as Eloqua, Outreach and…"",,https://ca.indeed.com/rc/clk?jk=f11c792107c56883&fccid=c908408e676247d6&vjs=3";
"Senior Java Developer - Waterloo,NCR,""Waterloo, ON"",30+ days ago,2021-06-05,Design and implement new features and functions for an exciting new omni-channel financial platform based on new technologies.,,https://ca.indeed.com/rc/clk?jk=a2db7f2151c49888&fccid=50597ebf467edd46&vjs=3";
"Senior iOS Developer,reebee,""Kitchener, ON"",26 days ago,2021-06-05,As an iOS Developer you will be taking ownership of new projects and seeing them from concept to deployment. Maintain and improve existing products.,,https://ca.indeed.com/rc/clk?jk=c1796ac13f63832c&fccid=3082fd1b15fe88ee&vjs=3";
"Senior Software Development Manager,Oracle,""Kitchener, ON"",30+ days ago,2021-06-05,""The Enterprise Resource Planning (ERP) division is made up of 60+ Developers, Testers, Technical Writers, UX Designers/Researchers and Product Managers."",,https://ca.indeed.com/rc/clk?jk=e3aa0a452f80c3f1&fccid=cd22d01053af7669&vjs=3";
"Quality Assurance Analyst III,Cineplex Digital Media,""Waterloo, ON"",3 days ago,2021-06-05,""Through their work, they engage by improving quality engineering systems, practices and processes. The Quality Assurance Analyst works day to day in a team that…"",,https://ca.indeed.com/rc/clk?jk=e1c1486611018688&fccid=01a5b39f260f43cd&vjs=3";
"Senior Data Product Manager,McAfee,""Waterloo, ON"",24 days ago,2021-06-05,You have a passion for data at scale and product management. You use the principles of data product management to lead the development of data products (example…,,https://ca.indeed.com/rc/clk?jk=8eea4079bba6b0b3&fccid=800f11c47014effe&vjs=3";
"Manager/Senior Manager, Audit - Enterprise,KPMG,""Waterloo, ON"",17 days ago,2021-06-05,Clients will look to you to add value to their business throughout the audit engagement. Oversee and manage the audits of our clients from planning through…,,https://ca.indeed.com/rc/clk?jk=a906103f0e1c5516&fccid=2dd390c3a48a7ed0&vjs=3";
"Senior Software Engineer, Test,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,You will also review UX designs and provide feedback on design quality and usability. Work with developers to assist in creating test scripts and teach them to…,,https://ca.indeed.com/rc/clk?jk=7ec486da0c741b94&fccid=f3a36f726f745c17&vjs=3";
"Senior Back-end Engineer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,""We build minimum viable products, deploy to production multiple times per day, A/B test customer-facing changes, listen to the data, and iterate."",,https://ca.indeed.com/rc/clk?jk=119e1610898fb28e&fccid=f3a36f726f745c17&vjs=3";
"Sr. Cash Applications Administrator,opentext,""Waterloo, ON"",8 days ago,2021-06-05,""Reporting to the Supervisor, Cash Application, the Cash Application Administrator brings their strong experience in global cash applications to assist our AR…"",,https://ca.indeed.com/rc/clk?jk=0a58ae88bd50d83f&fccid=c908408e676247d6&vjs=3";
"Senior Program Manager,Teledyne DALSA Digital Imaging (Waterloo),""Waterloo, ON"",30+ days ago,2021-06-05,""Report progress to customers and internally to Finance, senior management and other Teledyne entities. Teledyne Digital Imaging's products are used worldwide in…"",,https://ca.indeed.com/rc/clk?jk=7d59149999f03ac6&fccid=56fc1ffc1942e614&vjs=3";
"Senior Project Manager - Industrial Buildings,Stantec,""Waterloo, ON"",30+ days ago,2021-06-05,""The buildings that make up the landscape of our daily lives seem like permanent fixtures, fastened to a time and place. Travel : Yes, 25 % of the Time."",,https://ca.indeed.com/rc/clk?jk=12ba31de70e94412&fccid=f1582c464db8553b&vjs=3";
"Senior Embedded Software Developer, Advanced C++,Nuvation,""Waterloo, ON"",30+ days ago,2021-06-05,""Nuvation Energy is looking for a talented, innovative Senior Embedded Software Developer, Advanced C++, who successfully combines architecture skills, deep…"",,https://ca.indeed.com/rc/clk?jk=7f6326423b6b0110&fccid=94668000b769ac3f&vjs=3";
